"time","m.friendly_name_str","m.value","state.state"
"2023-07-16T23:04:49.630+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:04:53.160+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:04:53.359+01:00","MQTT iPhoneJD Office Raw","5.18",
"2023-07-16T23:04:58.110+01:00","MQTT iPhoneJD LivingRoom Raw","0.77",
"2023-07-16T23:04:58.385+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:05:03.108+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:05:03.397+01:00","MQTT iPhoneJD Office Raw","3.98",
"2023-07-16T23:05:03.544+01:00","MQTT iPhoneJD BedroomJK Raw","2.68",
"2023-07-16T23:05:08.137+01:00","MQTT iPhoneJD LivingRoom Raw","0.82",
"2023-07-16T23:05:08.349+01:00","MQTT iPhoneJD Office Raw","3.49",
"2023-07-16T23:05:08.598+01:00","MQTT iPhoneJD BedroomJK Raw","3.27",
"2023-07-16T23:05:13.496+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:05:18.142+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:05:18.364+01:00","MQTT iPhoneJD Office Raw","5.18",
"2023-07-16T23:05:18.506+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:05:23.158+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:05:28.544+01:00","MQTT iPhoneJD BedroomJK Raw","2.68",
"2023-07-16T23:05:28.721+01:00","MQTT iPhoneJD Office Raw","3.06",
"2023-07-16T23:05:29.334+01:00","MQTT iPhoneJD LivingRoom Raw","0.63",
"2023-07-16T23:05:34.083+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:05:34.218+01:00","MQTT iPhoneJD Office Raw","3.27",
"2023-07-16T23:05:34.330+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:05:39.084+01:00","MQTT iPhoneJD BedroomJK Raw","2.68",
"2023-07-16T23:05:39.133+01:00","MQTT iPhoneJD Office Raw","3.49",
"2023-07-16T23:05:39.661+01:00","MQTT iPhoneJD LivingRoom Raw","0.63",
"2023-07-16T23:05:44.084+01:00","MQTT iPhoneJD Office Raw","3.73",
"2023-07-16T23:05:44.110+01:00","MQTT iPhoneJD BedroomJK Raw","3.06",
"2023-07-16T23:05:44.358+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:05:49.079+01:00","MQTT iPhoneJD Office Raw","3.49",
"2023-07-16T23:05:49.119+01:00","MQTT iPhoneJD BedroomJK Raw","2.68",
"2023-07-16T23:05:49.373+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:05:54.089+01:00","MQTT iPhoneJD Office Raw","3.06",
"2023-07-16T23:05:54.380+01:00","MQTT iPhoneJD LivingRoom Raw","0.82",
"2023-07-16T23:05:59.057+01:00","MQTT iPhoneJD BedroomJK Raw","2.06",
"2023-07-16T23:05:59.109+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:05:59.330+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:06:04.096+01:00","MQTT iPhoneJD BedroomJK Raw","3.06",
"2023-07-16T23:06:04.333+01:00","MQTT iPhoneJD LivingRoom Raw","0.82",
"2023-07-16T23:06:09.087+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:06:09.138+01:00","MQTT iPhoneJD Office Raw","3.49",
"2023-07-16T23:06:09.343+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:06:14.085+01:00","MQTT iPhoneJD Office Raw","3.98",
"2023-07-16T23:06:19.067+01:00","MQTT iPhoneJD BedroomJK Raw","3.06",
"2023-07-16T23:06:19.076+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:06:19.512+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:06:24.048+01:00","MQTT iPhoneJD BedroomJK Raw","2.35",
"2023-07-16T23:06:24.090+01:00","MQTT iPhoneJD Office Raw","4.85",
"2023-07-16T23:06:29.063+01:00","MQTT iPhoneJD BedroomJK Raw","3.49",
"2023-07-16T23:06:29.107+01:00","MQTT iPhoneJD Office Raw","3.98",
"2023-07-16T23:06:29.337+01:00","MQTT iPhoneJD LivingRoom Raw","0.82",
"2023-07-16T23:06:34.077+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:06:34.126+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:06:34.334+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:06:39.091+01:00","MQTT iPhoneJD BedroomJK Raw","2.06",
"2023-07-16T23:06:39.345+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:06:44.082+01:00","MQTT iPhoneJD Office Raw","3.49",
"2023-07-16T23:06:44.134+01:00","MQTT iPhoneJD BedroomJK Raw","3.06",
"2023-07-16T23:06:44.388+01:00","MQTT iPhoneJD LivingRoom Raw","0.88",
"2023-07-16T23:06:49.043+01:00","MQTT iPhoneJD BedroomJK Raw","2.35",
"2023-07-16T23:06:49.080+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:06:49.382+01:00","MQTT iPhoneJD LivingRoom Raw","0.82",
"2023-07-16T23:06:54.054+01:00","MQTT iPhoneJD BedroomJK Raw","3.06",
"2023-07-16T23:06:54.096+01:00","MQTT iPhoneJD Office Raw","4.85",
"2023-07-16T23:06:59.063+01:00","MQTT iPhoneJD BedroomJK Raw","2.35",
"2023-07-16T23:06:59.110+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:06:59.330+01:00","MQTT iPhoneJD LivingRoom Raw","0.63",
"2023-07-16T23:07:04.144+01:00","MQTT iPhoneJD Office Raw","3.49",
"2023-07-16T23:07:04.333+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:07:09.561+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:07:09.561+01:00","MQTT iPhoneJD LivingRoom Raw","0.82",
"2023-07-16T23:07:14.080+01:00","MQTT iPhoneJD Office Raw","3.49",
"2023-07-16T23:07:19.044+01:00","MQTT iPhoneJD BedroomJK Raw","2.2",
"2023-07-16T23:07:19.082+01:00","MQTT iPhoneJD Office Raw","4.85",
"2023-07-16T23:07:19.386+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:07:24.054+01:00","MQTT iPhoneJD BedroomJK Raw","1.81",
"2023-07-16T23:07:24.097+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:07:24.331+01:00","MQTT iPhoneJD LivingRoom Raw","0.82",
"2023-07-16T23:07:29.063+01:00","MQTT iPhoneJD BedroomJK Raw","3.27",
"2023-07-16T23:07:29.114+01:00","MQTT iPhoneJD Office Raw","3.06",
"2023-07-16T23:07:29.344+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:07:34.084+01:00","MQTT iPhoneJD BedroomJK Raw","2.35",
"2023-07-16T23:07:34.138+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:07:34.347+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:07:39.426+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:07:40.682+01:00","MQTT iPhoneJD LivingRoom Raw","0.82",
"2023-07-16T23:07:44.082+01:00","MQTT iPhoneJD Office Raw","4.85",
"2023-07-16T23:07:44.374+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:07:49.084+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:07:49.385+01:00","MQTT iPhoneJD LivingRoom Raw","0.88",
"2023-07-16T23:07:54.098+01:00","MQTT iPhoneJD Office Raw","3.27",
"2023-07-16T23:07:59.069+01:00","MQTT iPhoneJD BedroomJK Raw","3.06",
"2023-07-16T23:07:59.118+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:07:59.331+01:00","MQTT iPhoneJD LivingRoom Raw","0.63",
"2023-07-16T23:08:04.089+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:08:04.138+01:00","MQTT iPhoneJD Office Raw","4.85",
"2023-07-16T23:08:04.338+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:08:09.047+01:00","MQTT iPhoneJD BedroomJK Raw","1.81",
"2023-07-16T23:08:09.357+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:08:14.065+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:08:14.080+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:08:19.131+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:08:19.183+01:00","MQTT iPhoneJD Office Raw","3.27",
"2023-07-16T23:08:19.394+01:00","MQTT iPhoneJD LivingRoom Raw","0.63",
"2023-07-16T23:08:24.052+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:08:24.102+01:00","MQTT iPhoneJD Office Raw","3.06",
"2023-07-16T23:08:24.331+01:00","MQTT iPhoneJD LivingRoom Raw","0.77",
"2023-07-16T23:08:29.123+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:08:29.165+01:00","MQTT iPhoneJD BedroomJK Raw","2.06",
"2023-07-16T23:08:29.338+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:08:34.091+01:00","MQTT iPhoneJD BedroomJK Raw","2.87",
"2023-07-16T23:08:34.133+01:00","MQTT iPhoneJD Office Raw","3.27",
"2023-07-16T23:08:34.344+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:08:39.051+01:00","MQTT iPhoneJD BedroomJK Raw","2.68",
"2023-07-16T23:08:39.082+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:08:39.362+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:08:44.052+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:08:44.082+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:08:49.545+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:08:54.060+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:08:54.105+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:08:59.077+01:00","MQTT iPhoneJD BedroomJK Raw","3.27",
"2023-07-16T23:08:59.129+01:00","MQTT iPhoneJD Office Raw","3.27",
"2023-07-16T23:09:04.096+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:09:04.146+01:00","MQTT iPhoneJD Office Raw","3.98",
"2023-07-16T23:09:04.357+01:00","MQTT iPhoneJD LivingRoom Raw","0.77",
"2023-07-16T23:09:09.080+01:00","MQTT iPhoneJD Office Raw","4.85",
"2023-07-16T23:09:09.113+01:00","MQTT iPhoneJD BedroomJK Raw","3.49",
"2023-07-16T23:09:09.365+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:09:14.051+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:09:14.180+01:00","MQTT iPhoneJD Office Raw","3.27",
"2023-07-16T23:09:19.054+01:00","MQTT iPhoneJD BedroomJK Raw","2.06",
"2023-07-16T23:09:19.091+01:00","MQTT iPhoneJD Office Raw","3.49",
"2023-07-16T23:09:24.058+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:09:24.131+01:00","MQTT iPhoneJD Office Raw","3.98",
"2023-07-16T23:09:29.076+01:00","MQTT iPhoneJD BedroomJK Raw","3.27",
"2023-07-16T23:09:29.130+01:00","MQTT iPhoneJD Office Raw","3.27",
"2023-07-16T23:09:34.145+01:00","MQTT iPhoneJD Office Raw","3.49",
"2023-07-16T23:09:34.202+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:09:34.349+01:00","MQTT iPhoneJD LivingRoom Raw","0.72",
"2023-07-16T23:09:39.079+01:00","MQTT iPhoneJD Office Raw","3.27",
"2023-07-16T23:09:39.369+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:09:44.160+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:09:44.827+01:00","MQTT iPhoneJD LivingRoom Raw","0.67",
"2023-07-16T23:09:44.835+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:09:49.094+01:00","MQTT iPhoneJD Office Raw","3.98",
"2023-07-16T23:09:49.333+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:09:54.272+01:00","MQTT iPhoneJD BedroomJK Raw","2.35",
"2023-07-16T23:09:54.332+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:09:59.096+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:09:59.131+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:09:59.337+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:10:04.386+01:00","MQTT iPhoneJD LivingRoom Raw","0.77",
"2023-07-16T23:10:09.061+01:00","MQTT iPhoneJD BedroomJK Raw","3.06",
"2023-07-16T23:10:09.370+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:10:14.544+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:10:19.102+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:10:19.783+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:10:24.070+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:10:29.090+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:10:29.134+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:10:29.340+01:00","MQTT iPhoneJD LivingRoom Raw","0.63",
"2023-07-16T23:10:34.081+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:10:34.363+01:00","MQTT iPhoneJD LivingRoom Raw","0.77",
"2023-07-16T23:10:39.057+01:00","MQTT iPhoneJD BedroomJK Raw","2.35",
"2023-07-16T23:10:39.077+01:00","MQTT iPhoneJD Office Raw","3.27",
"2023-07-16T23:10:39.373+01:00","MQTT iPhoneJD LivingRoom Raw","0.72",
"2023-07-16T23:10:44.058+01:00","MQTT iPhoneJD BedroomJK Raw","2.68",
"2023-07-16T23:10:44.095+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:10:44.332+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:10:49.064+01:00","MQTT iPhoneJD BedroomJK Raw","3.27",
"2023-07-16T23:10:49.340+01:00","MQTT iPhoneJD LivingRoom Raw","0.63",
"2023-07-16T23:10:54.082+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:10:54.126+01:00","MQTT iPhoneJD Office Raw","4.85",
"2023-07-16T23:10:54.333+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:10:59.137+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:10:59.348+01:00","MQTT iPhoneJD LivingRoom Raw","0.72",
"2023-07-16T23:11:04.359+01:00","MQTT iPhoneJD LivingRoom Raw","0.63",
"2023-07-16T23:11:09.068+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:11:09.084+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:11:09.377+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:11:14.056+01:00","MQTT iPhoneJD BedroomJK Raw","3.49",
"2023-07-16T23:11:14.335+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:11:19.067+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:11:19.334+01:00","MQTT iPhoneJD LivingRoom Raw","0.63",
"2023-07-16T23:11:24.142+01:00","MQTT iPhoneJD Office Raw","3.98",
"2023-07-16T23:11:24.334+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:11:24.590+01:00","MQTT iPhoneJD BedroomJK Raw","3.49",
"2023-07-16T23:11:29.140+01:00","MQTT iPhoneJD BedroomJK Raw","2.68",
"2023-07-16T23:11:29.370+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:11:34.087+01:00","MQTT iPhoneJD Office Raw","3.06",
"2023-07-16T23:11:34.365+01:00","MQTT iPhoneJD LivingRoom Raw","0.72",
"2023-07-16T23:11:39.085+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:11:44.093+01:00","MQTT iPhoneJD Office Raw","3.49",
"2023-07-16T23:11:44.334+01:00","MQTT iPhoneJD LivingRoom Raw","0.77",
"2023-07-16T23:11:49.058+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:11:49.109+01:00","MQTT iPhoneJD Office Raw","3.98",
"2023-07-16T23:11:49.335+01:00","MQTT iPhoneJD LivingRoom Raw","0.67",
"2023-07-16T23:11:59.187+01:00","MQTT iPhoneJD Office Raw","4.85",
"2023-07-16T23:11:59.349+01:00","MQTT iPhoneJD LivingRoom Raw","0.63",
"2023-07-16T23:11:59.806+01:00","MQTT iPhoneJD BedroomJK Raw","3.73",
"2023-07-16T23:12:04.085+01:00","MQTT iPhoneJD Office Raw","3.98",
"2023-07-16T23:12:04.367+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:12:04.516+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:12:09.057+01:00","MQTT iPhoneJD BedroomJK Raw","2.68",
"2023-07-16T23:12:09.382+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:12:14.059+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:12:14.095+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:12:14.334+01:00","MQTT iPhoneJD LivingRoom Raw","0.77",
"2023-07-16T23:12:19.651+01:00","MQTT iPhoneJD Office Raw","3.49",
"2023-07-16T23:12:19.821+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:12:24.152+01:00","MQTT iPhoneJD Office Raw","5.18",
"2023-07-16T23:12:29.084+01:00","MQTT iPhoneJD Office Raw","3.06",
"2023-07-16T23:12:29.102+01:00","MQTT iPhoneJD BedroomJK Raw","2.06",
"2023-07-16T23:12:34.092+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:12:34.109+01:00","MQTT iPhoneJD BedroomJK Raw","2.87",
"2023-07-16T23:12:39.059+01:00","MQTT iPhoneJD BedroomJK Raw","3.27",
"2023-07-16T23:12:39.092+01:00","MQTT iPhoneJD Office Raw","3.27",
"2023-07-16T23:12:39.379+01:00","MQTT iPhoneJD LivingRoom Raw","0.77",
"2023-07-16T23:12:44.071+01:00","MQTT iPhoneJD BedroomJK Raw","2.06",
"2023-07-16T23:12:44.100+01:00","MQTT iPhoneJD Office Raw","3.98",
"2023-07-16T23:12:44.343+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:12:49.644+01:00","MQTT iPhoneJD Office Raw","3.27",
"2023-07-16T23:12:49.886+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:12:54.088+01:00","MQTT iPhoneJD BedroomJK Raw","2.06",
"2023-07-16T23:12:54.177+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:12:54.343+01:00","MQTT iPhoneJD LivingRoom Raw","0.67",
"2023-07-16T23:12:59.083+01:00","MQTT iPhoneJD Office Raw","3.98",
"2023-07-16T23:12:59.100+01:00","MQTT iPhoneJD BedroomJK Raw","3.27",
"2023-07-16T23:13:04.058+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:13:04.083+01:00","MQTT iPhoneJD Office Raw","4.85",
"2023-07-16T23:13:04.374+01:00","MQTT iPhoneJD LivingRoom Raw","0.72",
"2023-07-16T23:13:09.092+01:00","MQTT iPhoneJD Office Raw","3.73",
"2023-07-16T23:13:14.057+01:00","MQTT iPhoneJD BedroomJK Raw","2.68",
"2023-07-16T23:13:14.110+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:13:14.333+01:00","MQTT iPhoneJD LivingRoom Raw","0.55",
"2023-07-16T23:13:19.084+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:13:19.133+01:00","MQTT iPhoneJD Office Raw","3.73",
"2023-07-16T23:13:19.333+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:13:24.127+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:13:24.343+01:00","MQTT iPhoneJD LivingRoom Raw","0.63",
"2023-07-16T23:13:29.361+01:00","MQTT iPhoneJD LivingRoom Raw","0.67",
"2023-07-16T23:13:34.087+01:00","MQTT iPhoneJD Office Raw","3.98",
"2023-07-16T23:13:34.121+01:00","MQTT iPhoneJD BedroomJK Raw","2.35",
"2023-07-16T23:13:34.381+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:13:39.059+01:00","MQTT iPhoneJD BedroomJK Raw","2.68",
"2023-07-16T23:13:39.089+01:00","MQTT iPhoneJD Office Raw","3.06",
"2023-07-16T23:13:39.333+01:00","MQTT iPhoneJD LivingRoom Raw","0.63",
"2023-07-16T23:13:44.061+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:13:44.111+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:13:44.333+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:13:49.076+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:13:49.227+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:13:54.140+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:13:59.089+01:00","MQTT iPhoneJD Office Raw","3.98",
"2023-07-16T23:13:59.377+01:00","MQTT iPhoneJD LivingRoom Raw","0.77",
"2023-07-16T23:13:59.829+01:00","MQTT iPhoneJD BedroomJK Raw","2.06",
"2023-07-16T23:14:04.056+01:00","MQTT iPhoneJD BedroomJK Raw","3.06",
"2023-07-16T23:14:04.083+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:14:04.381+01:00","MQTT iPhoneJD LivingRoom Raw","0.67",
"2023-07-16T23:14:09.102+01:00","MQTT iPhoneJD Office Raw","3.06",
"2023-07-16T23:14:09.192+01:00","MQTT iPhoneJD BedroomJK Raw","2.06",
"2023-07-16T23:14:09.338+01:00","MQTT iPhoneJD LivingRoom Raw","0.63",
"2023-07-16T23:14:14.063+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:14:14.354+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:14:19.075+01:00","MQTT iPhoneJD BedroomJK Raw","2.68",
"2023-07-16T23:14:19.128+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:14:19.337+01:00","MQTT iPhoneJD LivingRoom Raw","0.67",
"2023-07-16T23:14:26.117+01:00","MQTT iPhoneJD LivingRoom Raw","0.59",
"2023-07-16T23:14:26.453+01:00","MQTT iPhoneJD BedroomJK Raw","3.06",
"2023-07-16T23:14:29.086+01:00","MQTT iPhoneJD Office Raw","4.54",
"2023-07-16T23:14:29.110+01:00","MQTT iPhoneJD BedroomJK Raw","1.93",
"2023-07-16T23:14:34.054+01:00","MQTT iPhoneJD BedroomJK Raw","2.68",
"2023-07-16T23:14:34.175+01:00","MQTT iPhoneJD Office Raw","3.98",
"2023-07-16T23:14:39.054+01:00","MQTT iPhoneJD BedroomJK Raw","2.51",
"2023-07-16T23:14:39.090+01:00","MQTT iPhoneJD Office Raw","4.25",
"2023-07-16T23:14:39.337+01:00","MQTT iPhoneJD LivingRoom Raw","0.67",
